Date,Price,Open,High,Low,Vol.,Change %
1/2/2019,21479,21792,21974,21453,801.49K,-2.37%
1/3/2019,21270,21609,21609,21218,1.25M,-0.97%
1/4/2019,21427,21166,21609,21114,556.13K,0.74%
1/7/2019,21792,21792,21948,21687,713.07K,1.70%
1/8/2019,21896,21792,21896,21739,516.13K,0.48%
1/9/2019,22104,21948,22209,21844,539.49K,0.95%
1/10/2019,21974,22104,22183,21974,361.94K,-0.59%
1/11/2019,22000,22104,22183,21922,1.04M,0.12%
1/14/2019,22157,22052,22209,21896,695.49K,0.71%
1/15/2019,22313,22052,22313,22052,592.63K,0.71%
1/16/2019,22183,22417,22417,22183,325.73K,-0.58%
1/17/2019,21896,22157,22287,21896,662.97K,-1.29%
1/18/2019,21896,21948,22157,21896,396.54K,0.00%
1/21/2019,22157,22000,22313,22000,432.58K,1.19%
1/22/2019,22078,22157,22287,22078,246.98K,-0.35%
1/23/2019,22078,22052,22104,21974,337.72K,0.00%
1/24/2019,22130,22104,22209,22078,409.31K,0.24%
1/25/2019,22104,22104,22209,22052,372.65K,-0.12%
1/28/2019,21948,22157,22157,21948,377.65K,-0.71%
1/29/2019,22157,22104,22157,21896,751.66K,0.95%
1/30/2019,22521,22157,22626,22104,1.20M,1.65%
1/31/2019,22521,22574,22626,22365,902.98K,0.00%
2/1/2019,22209,22521,22521,21635,1.05M,-1.39%
2/11/2019,23017,22417,23095,22261,1.75M,3.64%
2/12/2019,22886,22939,23251,22886,1.22M,-0.57%
2/13/2019,23225,22939,23460,22939,1.96M,1.48%
2/14/2019,23069,23277,23408,23069,1.08M,-0.67%
2/15/2019,23043,23069,23173,22939,1.13M,-0.11%
2/18/2019,23147,23199,23251,22991,534.73K,0.45%
2/19/2019,23147,23303,23538,23095,2.57M,0.00%
2/20/2019,23382,23095,23486,23095,871.86K,1.01%
2/21/2019,23356,23303,23408,23095,1.31M,-0.11%
2/22/2019,23564,23356,23668,23147,2.17M,0.89%
2/25/2019,23721,23747,24085,23694,1.79M,0.66%
2/26/2019,23564,23773,23773,23460,1.16M,-0.66%
2/27/2019,23512,23564,23694,23408,847.80K,-0.22%
2/28/2019,23043,23512,23512,23043,2.40M,-2.00%
3/1/2019,23251,23225,23251,23017,1.03M,0.90%
3/4/2019,23460,23251,23564,23251,1.41M,0.90%
3/5/2019,23408,23460,23564,23356,1.44M,-0.22%
3/6/2019,23251,23434,23512,23173,1.21M,-0.67%
3/7/2019,23330,23251,23460,23251,653.49K,0.34%
3/8/2019,23277,23303,23356,23173,1.21M,-0.22%
3/11/2019,23199,23277,23382,23173,636.34K,-0.34%
3/12/2019,24242,23330,24242,23330,3.37M,4.49%
3/13/2019,24085,24242,24346,24085,1.75M,-0.65%
3/14/2019,24112,24085,24242,23981,931.30K,0.11%
3/15/2019,23981,24112,24138,23851,1.82M,-0.54%
3/18/2019,24085,24138,24216,23955,1.74M,0.43%
3/19/2019,23825,24085,24138,23825,1.60M,-1.08%
3/20/2019,23694,23773,23929,23590,1.39M,-0.55%
3/21/2019,23512,23877,23877,23512,1.44M,-0.77%
3/22/2019,23486,23512,23668,23486,1.20M,-0.11%
3/25/2019,23147,23043,23460,23043,1.11M,-1.44%
3/26/2019,23330,23460,23460,23199,674.05K,0.79%
3/27/2019,23460,23356,23512,23356,1.03M,0.56%
3/28/2019,23538,23330,23642,23330,632.57K,0.33%
3/29/2019,23721,23773,23773,23616,779.89K,0.78%
4/1/2019,23877,23929,23929,23721,571.72K,0.66%
4/2/2019,23981,23877,24346,23877,2.36M,0.44%
4/3/2019,24607,24190,24607,23981,1.81M,2.61%
4/4/2019,24920,24763,25128,24633,3.00M,1.27%
4/5/2019,24920,24920,24972,24737,1.07M,0.00%
4/8/2019,24920,24841,25024,24737,790.21K,0.00%
4/9/2019,24659,24920,25285,24659,1.77M,-1.05%
4/10/2019,24450,24503,24659,24372,1.28M,-0.85%
4/11/2019,24503,24450,24763,24424,628.30K,0.21%
4/12/2019,25128,24424,25232,24424,1.53M,2.55%
4/16/2019,24972,24763,25128,24763,1.58M,-0.62%
4/17/2019,25285,25180,25806,25128,3.42M,1.25%
4/18/2019,25285,25285,25676,25050,1.70M,0.00%
4/19/2019,25258,25389,25493,25232,792.51K,-0.10%
4/22/2019,24972,25285,25285,24920,1.44M,-1.14%
4/23/2019,24972,24972,25258,24763,959.09K,0.00%
4/24/2019,25311,25285,25363,25076,1.49M,1.36%
4/25/2019,25441,25285,25623,25258,1.69M,0.51%
4/26/2019,25832,25493,25936,25441,1.51M,1.54%
5/2/2019,25988,25962,26171,25884,1.54M,0.61%
5/3/2019,26067,26014,26067,25858,1.85M,0.30%
5/6/2019,25415,25545,25754,25258,2.54M,-2.50%
5/7/2019,25910,25597,25910,25571,1.91M,1.95%
5/8/2019,25884,25702,25910,25545,1.67M,-0.10%
5/9/2019,25337,25858,25884,25337,1.50M,-2.11%
5/10/2019,25545,25545,25676,25415,1.79M,0.82%
5/13/2019,25806,25545,25962,25545,1.48M,1.02%
5/14/2019,26171,25754,26484,25597,2.72M,1.41%
5/15/2019,26275,26327,26379,26119,2.69M,0.40%
5/16/2019,25884,26275,26431,25884,3.30M,-1.49%
5/17/2019,25966,26287,26287,25878,2.36M,0.32%
5/20/2019,26433,25995,26462,25995,2.84M,1.80%
5/21/2019,26813,26579,26901,26492,1.61M,1.44%
5/22/2019,26433,26842,26959,26433,2.48M,-1.42%
5/23/2019,26696,26433,26755,26404,2.01M,0.99%
5/24/2019,26638,26579,26842,26433,1.61M,-0.22%
5/27/2019,26433,26462,26550,26083,2.00M,-0.77%
5/28/2019,26200,26287,26521,26141,822.81K,-0.88%
5/29/2019,25761,26200,26200,25703,2.39M,-1.67%
5/30/2019,26024,25761,26112,25645,1.57M,1.02%
5/31/2019,25761,26054,26170,25761,971.02K,-1.01%
6/3/2019,25411,25703,25761,25411,1.40M,-1.36%
6/4/2019,25294,25411,25528,25265,852.47K,-0.46%
6/5/2019,25469,25411,25645,25411,793.66K,0.69%
6/6/2019,25995,25586,26112,25469,1.46M,2.06%
6/7/2019,26404,26170,26433,26112,2.07M,1.57%
6/10/2019,26346,26579,26696,26170,1.95M,-0.22%
6/11/2019,26404,26346,26638,26229,2.06M,0.22%
6/12/2019,26316,26404,26638,26287,2.04M,-0.33%
6/13/2019,26024,26316,26346,25995,1.36M,-1.11%
6/14/2019,25937,26054,26229,25937,888.40K,-0.34%
6/17/2019,25732,25761,25995,25645,1.61M,-0.79%
6/18/2019,25732,25907,25966,25557,1.21M,0.00%
6/19/2019,26083,25878,26112,25820,842.41K,1.36%
6/20/2019,26521,26200,26521,26083,2.15M,1.68%
6/21/2019,26521,26579,26638,26433,1.38M,0.00%
6/24/2019,26375,26521,26550,26375,1.15M,-0.55%
6/25/2019,27163,26287,27193,26170,5.19M,2.99%
6/26/2019,26959,27163,27163,26930,1.61M,-0.75%
6/27/2019,26521,26901,26930,26462,1.94M,-1.63%
6/28/2019,26579,26521,26871,26229,3.93M,0.22%
7/1/2019,27514,26871,27514,26813,4.05M,3.52%
7/2/2019,27397,27456,27748,27251,2.54M,-0.42%
7/3/2019,27339,27280,27397,27193,2.02M,-0.21%
7/4/2019,27426,27456,27572,27339,2.02M,0.32%
7/5/2019,27222,27339,27456,27105,1.81M,-0.75%
7/8/2019,27047,27163,27397,26901,2.07M,-0.64%
7/9/2019,27309,27047,27368,26930,1.58M,0.97%
7/10/2019,27485,27426,27718,27339,2.03M,0.64%
7/11/2019,27456,27543,27602,27339,1.36M,-0.11%
7/12/2019,27456,27514,27718,27339,1.97M,0.00%
7/15/2019,27631,27426,27777,27368,1.87M,0.64%
7/16/2019,27631,27660,27923,27602,1.84M,0.00%
7/17/2019,27485,27631,27748,27456,2.05M,-0.53%
7/18/2019,27339,27456,27514,27339,1.64M,-0.53%
7/19/2019,28156,27426,28215,27397,4.46M,2.99%
7/22/2019,28244,28156,28419,28010,2.79M,0.31%
7/23/2019,28507,28332,28507,28098,1.51M,0.93%
7/24/2019,28390,28828,28857,28390,3.10M,-0.41%
7/25/2019,28419,28390,28595,28332,1.84M,0.10%
7/26/2019,28507,28332,28507,28244,1.66M,0.31%
7/29/2019,28390,28507,28507,28156,1.79M,-0.41%
7/30/2019,27923,28390,28390,27864,3.32M,-1.65%
7/31/2019,28273,27923,28273,27748,1.76M,1.26%
8/1/2019,28244,28273,28390,28156,1.53M,-0.10%
8/2/2019,28507,28069,28624,27952,2.30M,0.93%
8/5/2019,28624,28624,29091,28507,3.69M,0.41%
8/6/2019,28595,28156,28799,28156,2.07M,-0.10%
8/7/2019,29062,28624,29062,28595,1.98M,1.63%
8/8/2019,29383,29120,29558,29120,3.31M,1.11%
8/9/2019,29851,29383,30026,29208,2.78M,1.59%
8/12/2019,30552,29851,30727,29617,2.89M,2.35%
8/13/2019,30668,30435,31077,30201,3.55M,0.38%
8/14/2019,31077,30960,31369,30844,3.50M,1.33%
8/15/2019,31554,30899,31554,30601,3.53M,1.53%
8/16/2019,30958,31554,32804,30958,7.19M,-1.89%
8/19/2019,31196,30958,31375,30482,4.52M,0.77%
8/20/2019,32149,31196,32149,31196,3.61M,3.05%
8/21/2019,31911,32208,32447,31792,2.87M,-0.74%
8/22/2019,31554,31911,32328,31494,3.00M,-1.12%
8/23/2019,32387,31613,32387,31315,2.96M,2.64%
8/26/2019,31970,31851,32268,31851,2.79M,-1.29%
8/27/2019,31434,32149,32328,31434,2.49M,-1.68%
8/28/2019,31018,31554,31673,31018,2.44M,-1.33%
8/29/2019,31375,31077,31434,30899,1.54M,1.15%
8/30/2019,31613,31554,31792,31494,1.12M,0.76%
9/3/2019,31970,31554,32149,31554,2.16M,1.13%
9/4/2019,31673,31970,32268,31554,2.63M,-0.93%
9/5/2019,31315,31792,31851,31315,1.97M,-1.13%
9/6/2019,31494,31494,31673,31137,1.81M,0.57%
9/9/2019,32030,31554,32387,31256,3.98M,1.70%
9/10/2019,32149,32268,32387,31911,2.75M,0.37%
9/11/2019,32208,32149,32268,31792,1.87M,0.19%
9/12/2019,33637,32387,33637,32387,6.03M,4.44%
9/13/2019,33816,33637,34173,33518,3.37M,0.53%
9/16/2019,34352,33875,34530,33756,2.13M,1.58%
9/17/2019,34292,34114,34590,33994,1.90M,-0.17%
9/18/2019,33578,34471,34471,33518,4.11M,-2.08%
9/19/2019,34411,33697,34411,33459,2.27M,2.48%
9/20/2019,34649,34352,35007,34292,2.22M,0.69%
9/23/2019,33637,34530,34709,33637,3.67M,-2.92%
9/24/2019,33459,33578,33935,33221,4.03M,-0.53%
9/25/2019,34173,33518,34173,33399,2.29M,2.14%
9/26/2019,34352,34352,34530,34054,1.58M,0.52%
9/27/2019,34828,34292,35007,34173,3.98M,1.39%
9/30/2019,34352,35304,35423,34352,3.49M,-1.37%
10/1/2019,34828,34352,34828,34292,2.61M,1.39%
10/2/2019,34054,34828,34888,34054,3.87M,-2.22%
10/3/2019,34054,33697,34173,33578,4.45M,0.00%
10/4/2019,33816,34233,34233,33756,2.02M,-0.70%
10/7/2019,33042,33816,34054,33042,3.76M,-2.29%
10/8/2019,33399,33042,33459,32863,2.12M,1.08%
10/9/2019,33578,33518,33935,33221,1.49M,0.53%
10/10/2019,33578,33697,33935,33578,1.28M,0.00%
10/11/2019,33637,33756,33875,33578,1.26M,0.18%
10/14/2019,34352,33935,34649,33816,3.54M,2.12%
10/15/2019,34173,34411,34411,34173,1.05M,-0.52%
10/16/2019,34233,34411,34530,34173,1.32M,0.17%
10/17/2019,33756,34173,34233,33697,2.57M,-1.39%
10/18/2019,33994,33816,34292,33697,2.30M,0.71%
10/21/2019,33637,34173,34173,33518,2.00M,-1.05%
10/22/2019,33518,33637,33697,33161,2.44M,-0.35%
10/23/2019,33578,33340,33935,33340,1.19M,0.18%
10/24/2019,34649,33816,34649,33578,3.55M,3.19%
10/25/2019,34530,34709,34828,34352,2.15M,-0.34%
10/28/2019,34590,34530,35007,34411,2.37M,0.17%
10/29/2019,34471,34649,34709,34411,1.51M,-0.34%
10/30/2019,34411,34471,34590,34292,1.75M,-0.17%
10/31/2019,34471,34530,34947,34411,2.01M,0.17%
11/1/2019,34828,34530,34947,34292,2.75M,1.04%
11/4/2019,35661,34947,36019,34947,9.22M,2.39%
11/5/2019,35602,35781,35781,35364,1.97M,-0.17%
11/6/2019,35423,35602,35959,35423,2.46M,-0.50%
11/7/2019,35423,35423,35661,35245,2.28M,0.00%
11/8/2019,35483,35602,35602,35245,1.94M,0.17%
11/11/2019,35721,35542,36078,35423,3.46M,0.67%
11/12/2019,36316,35721,36495,35721,4.51M,1.67%
11/13/2019,36019,36435,36495,36019,2.12M,-0.82%
11/14/2019,34709,36019,36316,34233,7.62M,-3.64%
11/15/2019,34888,34709,35007,34352,4.08M,0.51%
11/18/2019,34233,34768,35007,33994,4.44M,-1.88%
11/19/2019,34709,34233,34709,34233,1.68M,1.39%
11/20/2019,33816,34649,34649,33697,3.64M,-2.57%
11/21/2019,33340,33816,33994,33280,5.24M,-1.41%
11/22/2019,33340,33518,33994,33042,2.58M,0.00%
11/25/2019,33697,33399,33935,33221,1.73M,1.07%
11/26/2019,33994,33935,34054,33816,1.54M,0.88%
