"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/03/2023","29,200.0","28,900.0","29,200.0","28,700.0","2.33M","0.69%"
"30/03/2023","29,000.0","29,100.0","29,200.0","28,800.0","1.45M","0.00%"
"29/03/2023","29,000.0","28,800.0","29,050.0","28,800.0","1.73M","0.35%"
"28/03/2023","28,900.0","28,750.0","29,000.0","28,750.0","1.90M","0.52%"
"27/03/2023","28,750.0","28,500.0","28,900.0","28,300.0","1.39M","0.88%"
"24/03/2023","28,500.0","28,700.0","28,850.0","28,300.0","2.54M","-0.70%"
"23/03/2023","28,700.0","28,200.0","28,700.0","28,100.0","1.61M","0.70%"
"22/03/2023","28,500.0","28,450.0","28,700.0","28,200.0","1.38M","0.71%"
"21/03/2023","28,300.0","28,600.0","28,600.0","28,000.0","1.06M","1.07%"
"20/03/2023","28,000.0","28,950.0","28,950.0","28,000.0","1.61M","-3.45%"
"17/03/2023","29,000.0","29,050.0","29,300.0","28,800.0","1.14M","0.17%"
"16/03/2023","28,950.0","29,000.0","29,200.0","28,500.0","2.15M","-1.86%"
"15/03/2023","29,500.0","29,300.0","29,600.0","29,050.0","2.80M","1.72%"
"14/03/2023","29,000.0","29,250.0","29,250.0","28,350.0","2.14M","-1.02%"
"13/03/2023","29,300.0","28,650.0","29,400.0","28,600.0","1.86M","0.34%"
"10/03/2023","29,200.0","29,250.0","29,250.0","28,700.0","1.61M","-0.68%"
"09/03/2023","29,400.0","29,400.0","29,700.0","29,250.0","2.36M","0.00%"
"08/03/2023","29,400.0","28,500.0","29,500.0","28,450.0","3.42M","1.38%"
"07/03/2023","29,000.0","28,350.0","29,000.0","28,350.0","2.88M","2.29%"
"06/03/2023","28,350.0","27,850.0","28,750.0","27,850.0","3.19M","1.98%"
"03/03/2023","27,800.0","28,000.0","28,000.0","27,450.0","1.75M","0.00%"
"02/03/2023","27,800.0","28,300.0","28,350.0","27,750.0","1.83M","-1.59%"
"01/03/2023","28,250.0","27,350.0","28,250.0","27,100.0","2.17M","3.10%"
