Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
4/1/2021,76645,75871,77264,75329,1.09M,1.12%
5/1/2021,76877,76645,77884,76645,943.22K,0.30%
6/1/2021,81290,77032,82219,76877,2.65M,5.74%
7/1/2021,82838,80516,84000,80516,1.13M,1.90%
8/1/2021,81135,83613,83613,80903,1.23M,-2.06%
11/1/2021,80903,80980,81832,80593,1.08M,-0.29%
12/1/2021,81755,81755,81755,80671,810.13K,1.05%
13/01/2021,81135,81755,82142,80516,1.36M,-0.76%
14/01/2021,80438,81290,81445,79974,1.06M,-0.86%
15/01/2021,79896,81135,81213,79355,1.40M,-0.67%
18/01/2021,79974,80129,81290,79742,1.35M,0.10%
19/01/2021,76645,79819,79974,74400,1.44M,-4.16%
20/01/2021,76722,76645,81987,75871,2.67M,0.10%
21/01/2021,79742,76722,79742,75871,1.64M,3.94%
22/01/2021,79742,79742,80516,78967,1.62M,0.00%
25/01/2021,79355,78271,79742,78271,926.25K,-0.49%
26/01/2021,78116,79355,79355,76645,1.24M,-1.56%
27/01/2021,75406,76722,77419,72696,2.00M,-3.47%
28/01/2021,70142,71226,72232,70142,1.54M,-6.98%
29/01/2021,72000,66193,75019,66193,1.73M,2.65%
1/2/2021,70529,74322,74322,70451,1.67M,-2.04%
2/2/2021,74709,71226,74864,71226,1.36M,5.93%
3/2/2021,76567,75793,76645,74787,1.86M,2.49%
4/2/2021,76567,76567,76645,72696,1.23M,0.00%
5/2/2021,77419,76567,77419,75793,1.15M,1.11%
8/2/2021,72851,76645,77264,72077,3.70M,-5.90%
9/2/2021,75251,75096,75406,72077,3.80M,3.29%
17/02/2021,77419,75484,77419,75484,1.35M,2.88%
18/02/2021,78967,76645,78967,75871,2.16M,2.00%
19/02/2021,78425,76800,78735,76722,2.36M,-0.69%
22/02/2021,77884,77806,78967,77651,1.77M,-0.69%
23/02/2021,77419,77419,78193,76800,1.84M,-0.60%
24/02/2021,75948,77806,78193,74709,1.61M,-1.90%
25/02/2021,76025,76645,77032,75561,1.14M,0.10%
26/02/2021,76025,75329,76645,75096,1.37M,0.00%
1/3/2021,76800,76025,76877,76025,1.16M,1.02%
2/3/2021,76877,77419,78813,75871,1.52M,0.10%
3/3/2021,76180,76103,76955,76025,1.17M,-0.91%
4/3/2021,75329,76335,77032,72077,1.43M,-1.12%
5/3/2021,74632,75174,75251,73548,2.12M,-0.93%
8/3/2021,73703,75096,75096,73548,1.92M,-1.24%
9/3/2021,73548,73548,73548,72077,1.72M,-0.21%
10/3/2021,73935,73548,74167,72774,1.36M,0.53%
11/3/2021,74555,74167,74942,74167,1.29M,0.84%
12/3/2021,74167,74555,74709,73161,1.61M,-0.52%
15/03/2021,74555,74322,75096,73935,1.84M,0.52%
16/03/2021,74090,74322,74322,73626,836.80K,-0.62%
17/03/2021,74013,73935,74167,73548,1.58M,-0.10%
18/03/2021,75484,74477,75484,73935,2.05M,1.99%
19/03/2021,72929,75174,75174,72929,2.04M,-3.38%
22/03/2021,75096,74322,75484,73858,2.43M,2.97%
23/03/2021,74167,75019,75019,73858,1.20M,-1.24%
24/03/2021,73316,73548,74245,72851,1.82M,-1.15%
25/03/2021,73626,73316,74322,73161,1.48M,0.42%
26/03/2021,73471,73548,73935,72542,1.53M,-0.21%
29/03/2021,73780,73703,74167,72387,1.53M,0.42%
30/03/2021,73393,73780,73780,72851,2.23M,-0.52%
31/03/2021,73393,73161,73626,72851,1.21M,0.00%
1/4/2021,75019,73703,75638,73703,3.44M,2.22%
2/4/2021,75716,75484,76258,75019,2.91M,0.93%
5/4/2021,78967,77419,79587,76335,4.58M,4.29%
6/4/2021,78890,78967,79355,77806,2.86M,-0.10%
7/4/2021,78890,78193,78967,77729,1.51M,0.00%
8/4/2021,77419,78890,78890,77032,2.01M,-1.86%
9/4/2021,75484,77032,77032,75484,2.68M,-2.50%
12/4/2021,76567,76258,76800,75406,3.41M,1.43%
13/04/2021,75484,77419,77419,75484,2.13M,-1.41%
14/04/2021,76413,75329,76413,75019,1.71M,1.23%
15/04/2021,75484,77264,77264,74942,2.75M,-1.22%
16/04/2021,74555,75329,76258,74322,1.93M,-1.23%
19/04/2021,76258,75096,76258,74167,1.77M,2.28%
20/04/2021,79742,76722,81290,76258,8.01M,4.57%
22/04/2021,79742,79742,81755,79122,3.80M,0.00%
23/04/2021,80516,79742,80516,77806,2.92M,0.97%
26/04/2021,76335,80516,80516,75793,4.59M,-5.19%
27/04/2021,76645,76335,77109,75638,1.52M,0.41%
28/04/2021,76645,76645,76877,75638,1.82M,0.00%
29/04/2021,77419,76645,77419,75871,2.06M,1.01%
4/5/2021,76722,76645,77109,75871,1.91M,-0.90%
5/5/2021,78348,76722,78967,76722,2.33M,2.12%
6/5/2021,76877,78348,78735,76645,1.48M,-1.88%
7/5/2021,75096,76567,76645,74864,2.92M,-2.32%
10/5/2021,75948,74864,76025,74245,2.14M,1.13%
11/5/2021,75793,76025,76877,75484,1.49M,-0.20%
12/5/2021,75329,75793,75793,75096,1.55M,-0.61%
13/05/2021,74942,75251,75716,74942,2.17M,-0.51%
14/05/2021,75019,75406,76103,74787,1.79M,0.10%
17/05/2021,74322,75174,75329,74167,2.19M,-0.93%
18/05/2021,73238,73780,74322,73161,2.68M,-1.46%
19/05/2021,72851,73238,73238,72619,2.14M,-0.53%
20/05/2021,76645,72851,76645,72851,2.43M,5.21%
21/05/2021,74942,74555,75871,74322,1.86M,-2.22%
24/05/2021,75406,75484,76258,74709,2.32M,0.62%
25/05/2021,77264,75406,77419,75406,4.87M,2.46%
26/05/2021,77729,77342,78813,77187,3.01M,0.60%
27/05/2021,76413,77729,77729,75871,1.86M,-1.69%
28/05/2021,77109,76645,78271,75561,2.80M,0.91%
31/05/2021,76335,78193,78193,76103,3.34M,-1.00%
1/6/2021,80284,76955,80671,76413,5.78M,5.17%
2/6/2021,82064,80516,83225,80284,5.45M,2.22%
3/6/2021,82606,82142,83613,82064,3.58M,0.66%
4/6/2021,81213,82451,82451,80593,3.07M,-1.69%
7/6/2021,79742,80748,81213,78348,3.79M,-1.81%
8/6/2021,77419,79742,80516,77419,3.00M,-2.91%
9/6/2021,78967,77419,78967,76800,3.05M,2.00%
10/6/2021,78813,78967,79664,77419,2.89M,-0.20%
11/6/2021,79587,78271,80129,77806,2.61M,0.98%
14/06/2021,78967,79045,80051,78425,1.86M,-0.78%
15/06/2021,79587,79045,79742,78193,1.81M,0.79%
16/06/2021,80516,79355,82064,79355,3.70M,1.17%
17/06/2021,80671,80516,81290,78967,1.99M,0.19%
18/06/2021,84000,80903,84387,80748,4.13M,4.13%
21/06/2021,82529,83613,83767,82064,2.69M,-1.75%
22/06/2021,83303,82916,84000,82451,1.89M,0.94%
