Date,Open,High,Low,Close,Adj Close,Volume
5/3/2022,17.14,17.23,17.13,17.22,17.062912,237700
5/4/2022,17.03,17.10,16.89,17.06,16.904371,314200
5/5/2022,17.00,17.05,16.82,16.86,16.706198,269700
5/6/2022,16.70,16.73,16.58,16.62,16.468388,233800
5/9/2022,15.99,16.04,15.73,15.74,15.596414,517700
5/10/2022,16.15,16.19,16.01,16.14,15.992764,327400
5/11/2022,16.06,16.22,16.06,16.09,15.943222,243800
5/12/2022,15.46,15.46,15.25,15.28,15.140611,694000
5/13/2022,15.05,15.25,15.05,15.23,15.091066,492000
5/16/2022,15.04,15.06,14.94,14.96,14.823529,347400
5/17/2022,15.56,15.67,15.56,15.65,15.507235,442600
5/18/2022,15.63,15.72,15.40,15.42,15.279333,141100
5/19/2022,15.52,15.64,15.51,15.60,15.457692,170400
5/20/2022,15.70,15.70,15.39,15.48,15.338785,140600
5/23/2022,15.39,15.42,15.29,15.31,15.170338,224800
5/24/2022,15.39,15.48,15.37,15.40,15.259515,244700
5/25/2022,15.73,15.73,15.61,15.71,15.566688,323800
5/26/2022,15.76,15.76,15.69,15.74,15.596414,279900
5/27/2022,15.91,15.91,15.87,15.90,15.754954,149400
5/31/2022,16.13,16.16,15.96,16.04,15.893679,317300
6/1/2022,16.20,16.20,16.02,16.06,15.913495,159900
6/2/2022,16.01,16.02,15.92,16.02,15.87386,225600
6/3/2022,15.94,15.94,15.80,15.81,15.665776,174500
6/6/2022,15.98,15.98,15.80,15.80,15.655868,146200
6/7/2022,15.84,15.90,15.80,15.90,15.754954,172300
6/8/2022,16.04,16.05,15.94,15.96,15.814407,222900
6/9/2022,16.07,16.07,15.92,15.93,15.784681,138700
6/10/2022,15.80,15.80,15.63,15.65,15.507235,217000
6/13/2022,15.22,15.22,14.93,14.95,14.813621,468200
6/14/2022,15.10,15.20,15.01,15.05,14.912709,115300
6/15/2022,14.90,15.04,14.79,14.98,14.843347,275100
6/16/2022,14.95,14.95,14.76,14.89,14.754169,403600
6/17/2022,14.80,14.85,14.72,14.82,14.684807,117400
6/21/2022,14.64,14.69,14.51,14.54,14.407361,351000
6/22/2022,14.50,14.51,14.30,14.45,14.318182,189300
6/23/2022,14.58,14.70,14.50,14.65,14.516357,270400
6/24/2022,14.69,14.83,14.65,14.79,14.655081,175700
6/27/2022,15.00,15.00,14.80,14.81,14.674899,292100
6/28/2022,14.99,14.99,14.76,14.82,14.684807,109800
6/29/2022,14.85,14.85,14.67,14.71,14.57581,115100
6/30/2022,14.52,14.52,14.34,14.40,14.268638,238700
7/1/2022,14.39,14.50,14.34,14.48,14.347908,325200
7/5/2022,14.18,14.28,14.00,14.09,13.961467,986600
7/6/2022,13.97,13.97,13.76,13.80,13.674112,375900
7/7/2022,14.08,14.17,14.08,14.16,14.030828,219900
7/8/2022,14.16,14.33,14.09,14.28,14.149733,203000
7/11/2022,14.28,14.28,14.16,14.18,14.050645,95800
7/12/2022,14.31,14.38,14.26,14.34,14.209187,112600
7/13/2022,14.23,14.33,14.16,14.21,14.080372,209900
7/14/2022,14.26,14.34,14.25,14.34,14.209187,204700
7/15/2022,14.27,14.44,14.27,14.43,14.298365,179200
7/18/2022,14.40,14.42,14.25,14.27,14.139825,316200
7/19/2022,14.42,14.52,14.42,14.52,14.387545,78800
7/20/2022,14.63,14.64,14.55,14.61,14.476722,177600
7/21/2022,14.69,14.70,14.58,14.66,14.526266,74500
7/22/2022,14.60,14.61,14.47,14.50,14.367726,135000
7/25/2022,14.59,14.62,14.53,14.57,14.437087,98100
7/26/2022,14.47,14.47,14.33,14.34,14.209187,133400
7/27/2022,14.41,14.63,14.41,14.61,14.476722,56700
7/28/2022,14.72,14.82,14.64,14.80,14.664989,134900
7/29/2022,14.71,14.75,14.64,14.73,14.595628,107000
8/1/2022,14.94,15.04,14.84,15.03,14.892891,503300
8/2/2022,15.08,15.14,15.02,15.06,14.922618,147000
